code,name
IDADB,Adang Bay
IDAEG,Aekgodang
IDAKE,Akeselaka
IDARD,Alor Island
IDAHI,Amahai
IDAMA,Amamapare - Ij
IDAMQ,Ambon - Molucas
IDAPN,Ampana
IDAMP,Ampenan - Bali
IDANG,Angar
IDAGD,Anggi
IDANR,Anyer Kidul
IDAAS,Apalapsili
IDAPI,Api Api
IDAJN,Arjuna  - Java
IDARB,Aroe Bay
IDARJ,Arso
IDAUN,Arun
IDIAM,Asam Asam
IDASI,Asike
IDABU,Atambua
IDAUT,Atauro
IDAYW,Ayawasi
IDBXD,Bade
IDBJW,Bajawa
IDBPN,Balikpapan - Kalimantan
IDBAL,Balongan Terminal
IDNAF,Banaina
IDBTJ,Banda Aceh
IDNDA,Bandanaira
IDTKG,Bandar Lampung
IDBDO,Bandung - Java
IDBGG,Banggai
IDBDJ,Banjarmasin
IDBJU,Banjuwangi - Java
IDBTN,Banten
IDIBL,Bantul
IDBTH,Batam (ex Batu Besar)
IDBTM,Batam Island
IDBUR,Batu Ampal
IDBAK,Batu Kilat
IDBTW,Batulicin
IDBUW,Baubau - Butung
IDBCH,Baucau
IDBEK,Bekapai Terminal
IDBKA,Bekasi
IDBNT,Belanak Terminal
IDBLW,Belawan - Sumatra
IDBET,Belida Terminal
IDBLV,Beliling
IDBLT,Belitung
IDBEN,Benete
IDBKI,Bengkalis - St
IDBKS,Bengkulu - Sumatra
IDBOA,Benoa - Bali
IDBEJ,Berau
IDBIK,Biak - Irian Jaya
IDBMT,Bima Terminal - Jv
IDBMU,Bima - Sb
IDNTI,Bintuni
IDBIR,Biringkassi
IDBIT,Bitung - Sulawesi
IDBLL,Blang Lancang - St
IDBLI,Blinju - Banka
IDBOG,Bogor
IDBUI,Bokondini
IDBJG,Bolaang
IDBNG,Bonggala
IDBXT,Bontang - Kl
IDBUN,Buatan
IDBUA,Bula
IDBUG,Buleleng - Bali
IDBYQ,Bunyu
IDUOL,Buol
IDCSA,Cape Sago
IDCEB,Celukan Bawang - Bl
