code,nama,office
007X,GUDANG 007,000000
0402,TPS/GD.KPBC TANJUNG PRIOK II,000000
200X,GUDANG 200X - POS E,000000
202X,LAPANGAN 202X,000000
207X,GD/LAP.207X,000000
209X,GD/LAP.209-210,000000
213X,GUDANG 213X,000000
300X,GD/LAP.300-302,000000
304X,GD/LAP.304-305,000000
4104,GUDANG 104,000000
7KAB,KABER PT. BONECOM,000000
AIRN,PT. AIRIN (DP3),000000
ASRI,KABER PT. BRENTANINDO ASRI,000000
BINA,PT. BINA SARANA  AMITY (DP3),000000
CENT,PT. CENTRAL SARANA NIAGA MAKMUR (DP3),000000
CVSU,CV. SETIAWAN UTAMA,000000
DHAR,KABER PT. DHARMA KARYA PERDANA,000000
DWIP,PT.DWIPA,000000
EXPR,KABER PT. DUNIA EXPRES,000000
FORD,PPGB PT. FORD MOTOR INDONESIA,000000
G107,GUDANG 107,000000
G114,GUDANG 114,000000
G115,GUDANG 115,000000
G201,GUDANG 201,000000
G203,GUDANG 203,000000
G813,GUDANG 108 -113,000000
GAPI,GUDANG API / PRIMANATA,000000
GCFS,GUDANG CFS NUSANTARA/PERCA,000000
GCTU,PT. GUNA CITRA TRANS UTAMA,000000
GDKP,GB PT DHARMA KARYA PERDANA,000000
GMS1,GUDANG MAS SATRIA,000000
GSAL,GLOBAL SARANA LOGISTIK,000000
GSRA,LAP.GRAHA SEGARA,000000
GTAM,GUDANG BERIKAT TOYOTA ASTRA MOTOR,000000
HMLA,PT. HARJA MUKTI LANGGENG (DP3),000000
INFO,KABER. PT. INFOPEN,000000
INTI,KABER. PT.BENOLI INTI KARYA,000000
JAYA,KABER. PT. LAUTAN JAYA KUMALA,000000
KARA,PT. KARAVAN (TPS),000000
KOJA,LAP KOJA - KSO TPK KOJA,000000
L006,TPS LAP 006-007 PT. PRIMA NP,000000
LOKA,KABER.  PT. PESAKA LOKA KIRANA,000000
MAPR,PT.MITRA ABADI PRATAMA(UGD),000000
MARU,KABER.  MARUNDA,000000
MBPU,PT. MULTI BINA PURA (DP3),000000
MMLG,MM LOGISTIK,000000
MORI,PT.MORIS (DP3),000000
MSAB,MULTI SEJAHTERA ABADI,000000
MSAP,PT.MSA,000000
NISE,PT. NIHON SEIKI INDONESIA,000000
NLIJ,PT. NITTSU LEMO INDONESIA LOGISTIK,000000
NUSA,KABER.  NUSANTARA TG. PRIOK,000000
PESA,PT. PESAKA LOKA KIRANA (TPS),000000
PGFA,PT. GELOMBANG FAJAR,000000
PJDC,PT. JAKARTA DISTRIBUTION CENTRE,000000
PLII,PT. PELABUHAN INDONESIA II,000000
PPUN,PT. PUNINAR SARANA RAYA,000000
PSAP,PT. PUTRA SIGAOL ARGANTA PERKASA,000000
PUNI,PT. PUNINAR PACIFIC (DP3),000000
RA33,GUDANG RA 33-35,000000
RAYA,PT.AGUNG RAYA,000000
RUNA,PT. BIMARUNA JAYA (DP3),000000
SDKP,TPS PT DHARMA KARYA PERDANA,000000
SENA,LAP. TIMBUN SENAWANGI,000000
SOSO,GUDANG PASOSO/CDC,000000
SUPA,GUDANG SUNDA KELAPA,000000
T09X,GUDANG DAN LAP. TIMBUN 009X,000000
